# hgIntegrator: database=hg38 region=chr18:1-80373285 Sun Jun 22 08:06:51 2025
#cpgIslandExt.chrom	cpgIslandExt.chromStart	cpgIslandExt.chromEnd	cpgIslandExt.name	cpgIslandExt.length	cpgIslandExt.cpgNum	cpgIslandExt.gcNum	cpgIslandExt.perCpg	cpgIslandExt.perGc	cpgIslandExt.obsExp
chr18	77092171	77092504	CpG: 27	333	27	216	16.2	64.9	0.78
chr18	77112193	77112458	CpG: 25	265	25	160	18.9	60.4	1.04
chr18	77120083	77120326	CpG: 17	243	17	138	14	56.8	0.87
chr18	77131404	77133470	CpG: 201	2066	201	1436	19.5	69.5	0.81
chr18	77249600	77251866	CpG: 209	2266	209	1514	18.4	66.8	0.83
chr18	77668276	77668612	CpG: 26	336	26	231	15.5	68.8	0.66
chr18	77690364	77690623	CpG: 18	259	18	168	13.9	64.9	0.66
chr18	77899962	77900186	CpG: 20	224	20	157	17.9	70.1	0.73
chr18	77978538	77978945	CpG: 29	407	29	205	14.3	50.4	1.13
chr18	78126577	78126801	CpG: 18	224	18	128	16.1	57.1	0.99
chr18	78238674	78239123	CpG: 43	449	43	320	19.2	71.3	0.79
chr18	78309222	78309699	CpG: 48	477	48	328	20.1	68.8	0.86
chr18	78313274	78313558	CpG: 21	284	21	165	14.8	58.1	0.88
chr18	78363612	78363926	CpG: 29	314	29	212	18.5	67.5	0.81
chr18	78390398	78391531	CpG: 79	1133	79	742	13.9	65.5	0.65
chr18	78400173	78400444	CpG: 20	271	20	180	14.8	66.4	0.67
chr18	78429718	78430190	CpG: 44	472	44	347	18.6	73.5	0.69
chr18	78430598	78430862	CpG: 25	264	25	176	18.9	66.7	0.85
chr18	78502285	78503098	CpG: 79	813	79	543	19.4	66.8	0.87
chr18	78504381	78504603	CpG: 15	222	15	145	13.5	65.3	0.66
chr18	78504687	78505107	CpG: 27	420	27	271	12.9	64.5	0.64
chr18	78517579	78517827	CpG: 31	248	31	191	25	77	0.84
chr18	78548229	78548578	CpG: 26	349	26	226	14.9	64.8	0.73
chr18	78562675	78563015	CpG: 39	340	39	237	22.9	69.7	0.94
chr18	78637483	78638378	CpG: 70	895	70	618	15.6	69.1	0.66
chr18	78703363	78703678	CpG: 24	315	24	201	15.2	63.8	0.76
chr18	78726313	78726864	CpG: 43	551	43	367	15.6	66.6	0.72
chr18	78781147	78781888	CpG: 57	741	57	464	15.4	62.6	0.79
chr18	78792775	78793014	CpG: 18	239	18	161	15.1	67.4	1.02
chr18	78796716	78797309	CpG: 64	593	64	377	21.6	63.6	1.07
chr18	78841754	78841963	CpG: 23	209	23	140	22	67	0.98
chr18	78856616	78857519	CpG: 66	903	66	549	14.6	60.8	0.79
chr18	78866509	78866769	CpG: 19	260	19	178	14.6	68.5	0.65
chr18	78879260	78879744	CpG: 53	484	53	314	21.9	64.9	1.04
chr18	78914507	78914797	CpG: 25	290	25	180	17.2	62.1	0.91
chr18	78925187	78925397	CpG: 20	210	20	141	19	67.1	0.86
chr18	78933917	78934195	CpG: 22	278	22	163	15.8	58.6	0.92
chr18	78964859	78965314	CpG: 37	455	37	337	16.3	74.1	0.63
chr18	78972970	78974765	CpG: 184	1795	184	1233	20.5	68.7	0.87
chr18	78977005	78981362	CpG: 480	4357	480	2897	22	66.5	1
chr18	78991939	78995549	CpG: 365	3610	365	2469	20.2	68.4	0.87
chr18	79005747	79006833	CpG: 100	1086	100	755	18.4	69.5	0.76
chr18	79022657	79022896	CpG: 20	239	20	173	16.7	72.4	0.64
chr18	79068638	79069796	CpG: 157	1158	157	813	27.1	70.2	1.1
chr18	79146114	79146380	CpG: 18	266	18	178	13.5	66.9	0.76
chr18	79225514	79225929	CpG: 31	415	31	263	14.9	63.4	0.75
chr18	79327463	79328162	CpG: 60	699	60	410	17.2	58.7	1
chr18	79365676	79365885	CpG: 16	209	16	130	15.3	62.2	0.85
chr18	79374250	79374551	CpG: 28	301	28	221	18.6	73.4	0.69
chr18	79378797	79379201	CpG: 36	404	36	253	17.8	62.6	0.91
chr18	79393870	79400806	CpG: 544	6936	544	4113	15.7	59.3	0.89
chr18	79406704	79407043	CpG: 31	339	31	245	18.3	72.3	0.7
chr18	79410427	79411445	CpG: 85	1018	85	698	16.7	68.6	0.74
chr18	79411704	79412118	CpG: 28	414	28	269	13.5	65	0.65
chr18	79420182	79420841	CpG: 52	659	52	407	15.8	61.8	0.94
chr18	79426267	79426512	CpG: 19	245	19	160	15.5	65.3	0.73
chr18	79433463	79433764	CpG: 27	301	27	206	17.9	68.4	0.77
chr18	79436121	79436568	CpG: 43	447	43	289	19.2	64.7	0.92
chr18	79441938	79442732	CpG: 56	794	56	529	14.1	66.6	0.64
chr18	79443269	79443732	CpG: 30	463	30	291	13	62.9	0.66
chr18	79446921	79447546	CpG: 41	625	41	401	13.1	64.2	0.64
chr18	79448691	79449035	CpG: 27	344	27	222	15.7	64.5	0.75
chr18	79450989	79451213	CpG: 23	224	23	138	20.5	61.6	1.09
chr18	79454959	79455492	CpG: 44	533	44	327	16.5	61.4	0.88
chr18	79458227	79458866	CpG: 47	639	47	419	14.7	65.6	0.69
chr18	79459239	79459516	CpG: 22	277	22	179	15.9	64.6	0.76
chr18	79461855	79462111	CpG: 20	256	20	167	15.6	65.2	0.74
chr18	79467273	79467727	CpG: 47	454	47	271	20.7	59.7	1.16
chr18	79470597	79470803	CpG: 18	206	18	141	17.5	68.4	0.75
chr18	79473326	79476398	CpG: 250	3072	250	1720	16.3	56	1.04
chr18	79480432	79480736	CpG: 25	304	25	206	16.4	67.8	0.72
chr18	79483364	79483636	CpG: 21	272	21	181	15.4	66.5	0.71
chr18	79486356	79487889	CpG: 124	1533	124	1026	16.2	66.9	0.72
chr18	79493182	79495003	CpG: 197	1821	197	1289	21.6	70.8	0.86
chr18	79495680	79496046	CpG: 34	366	34	213	18.6	58.2	1.15
chr18	79510793	79511160	CpG: 34	367	34	256	18.5	69.8	0.76
chr18	79512584	79513603	CpG: 65	1019	65	612	12.8	60.1	0.71
chr18	79520144	79520414	CpG: 23	270	23	180	17	66.7	0.77
chr18	79524291	79525544	CpG: 102	1253	102	850	16.3	67.8	0.78
chr18	79526051	79526277	CpG: 19	226	19	148	16.8	65.5	0.78
chr18	79529018	79529464	CpG: 34	446	34	243	15.2	54.5	1.04
chr18	79532133	79532556	CpG: 30	423	30	286	14.2	67.6	0.68
chr18	79548074	79548815	CpG: 51	741	51	487	13.8	65.7	0.65
chr18	79549695	79552226	CpG: 190	2531	190	1693	15	66.9	0.69
chr18	79552679	79552970	CpG: 23	291	23	204	15.8	70.1	0.64
chr18	79553826	79554082	CpG: 22	256	22	160	17.2	62.5	0.88
chr18	79555951	79556153	CpG: 18	202	18	134	17.8	66.3	0.81
chr18	79559182	79559421	CpG: 16	239	16	144	13.4	60.3	0.79
chr18	79576081	79576282	CpG: 18	201	18	129	17.9	64.2	0.88
chr18	79579076	79579348	CpG: 19	272	19	171	14	62.9	0.72
chr18	79616688	79617995	CpG: 133	1307	133	995	20.4	76.1	0.74
chr18	79626827	79627050	CpG: 18	223	18	148	16.1	66.4	0.75
chr18	79635323	79635575	CpG: 20	252	20	157	15.9	62.3	0.84
chr18	79637556	79638898	CpG: 142	1342	142	974	21.2	72.6	0.8
chr18	79650035	79650246	CpG: 18	211	18	134	17.1	63.5	0.86
chr18	79678980	79680398	CpG: 195	1418	195	1028	27.5	72.5	1.05
chr18	79694279	79694617	CpG: 25	338	25	242	14.8	71.6	0.66
chr18	79704324	79704945	CpG: 43	621	43	381	13.8	61.4	0.74
chr18	79705403	79705674	CpG: 26	271	26	173	19.2	63.8	0.97
chr18	79713844	79714114	CpG: 25	270	25	194	18.5	71.9	0.74
chr18	79714603	79715523	CpG: 69	920	69	595	15	64.7	0.72
chr18	79719099	79719387	CpG: 22	288	22	182	15.3	63.2	0.79
chr18	79727345	79727547	CpG: 27	202	27	134	26.7	66.3	1.43
chr18	79733154	79733658	CpG: 37	504	37	325	14.7	64.5	0.71
chr18	79735021	79735911	CpG: 67	890	67	578	15.1	64.9	0.71
chr18	79736283	79736512	CpG: 20	229	20	138	17.5	60.3	1
chr18	79736768	79737180	CpG: 29	412	29	259	14.1	62.9	0.75
chr18	79739753	79740274	CpG: 55	521	55	366	21.1	70.2	0.86
chr18	79745235	79746486	CpG: 203	1251	203	914	32.5	73.1	1.31
chr18	79747538	79747817	CpG: 24	279	24	184	17.2	65.9	0.8
chr18	79755844	79756144	CpG: 23	300	23	207	15.3	69	0.65
chr18	79770969	79771535	CpG: 49	566	49	423	17.3	74.7	1.03
chr18	79772390	79772593	CpG: 14	203	14	138	13.8	68	0.64
chr18	79783073	79783323	CpG: 22	250	22	174	17.6	69.6	0.73
chr18	79785027	79785257	CpG: 21	230	21	153	18.3	66.5	0.83
chr18	79787846	79790299	CpG: 217	2453	217	1651	17.7	67.3	0.79
chr18	79792401	79792603	CpG: 19	202	19	135	18.8	66.8	0.85
chr18	79797780	79798948	CpG: 152	1168	152	847	26	72.5	0.99
chr18	79800088	79800292	CpG: 16	204	16	142	15.7	69.6	0.7
chr18	79802287	79802501	CpG: 18	214	18	152	16.8	71	0.67
chr18	79807283	79810039	CpG: 206	2756	206	1789	14.9	64.9	0.72
chr18	79825913	79826856	CpG: 73	943	73	561	15.5	59.5	0.88
chr18	79830828	79831698	CpG: 61	870	61	560	14	64.4	0.68
chr18	79848383	79849118	CpG: 48	735	48	482	13.1	65.6	0.61
chr18	79863265	79864578	CpG: 149	1313	149	895	22.7	68.2	0.98
chr18	79871560	79871777	CpG: 19	217	19	156	17.5	71.9	0.68
chr18	79878263	79878517	CpG: 23	254	23	180	18.1	70.9	0.77
chr18	79882744	79883330	CpG: 70	586	70	410	23.9	70	1.01
chr18	79898912	79900000	CpG: 115	1088	115	787	21.1	72.3	0.81
chr18	79915198	79915485	CpG: 21	287	21	199	14.6	69.3	0.64
chr18	79915990	79916322	CpG: 36	332	36	227	21.7	68.4	1.04
chr18	79918372	79918713	CpG: 24	341	24	230	14.1	67.4	0.64
chr18	79950769	79952896	CpG: 240	2127	240	1514	22.6	71.2	0.92
chr18	79964352	79964836	CpG: 64	484	64	371	26.4	76.7	0.9
chr18	79988045	79988905	CpG: 106	860	106	594	24.7	69.1	1.03
chr18	80033336	80034761	CpG: 179	1425	179	1020	25.1	71.6	1.04
chr18	80077960	80078200	CpG: 18	240	18	156	15	65	0.71
chr18	80109264	80109756	CpG: 86	492	86	404	35	82.1	1.04
chr18	80147414	80147683	CpG: 28	269	28	186	20.8	69.1	0.87
chr18	80159763	80160706	CpG: 101	943	101	602	21.4	63.8	1.05
chr18	80246145	80247788	CpG: 189	1643	189	1214	23	73.9	0.84
